TimeStamp,Close,TradeVolume,TradeCount
2018-01-01,754.99,53909.25885,75314
2018-01-02,855.28,113257.78355,142511
2018-01-03,934.03,89041.45688,118866
2018-01-04,940.0,102894.47384,132633
2018-01-05,959.3,97374.0163,124438
2018-01-06,1004.11,71954.27895,91685
2018-01-07,1123.09,65278.81957,89192
2018-01-08,1133.18,158831.54798,171664
2018-01-09,1291.0,118702.88684,152628
2018-01-10,1247.0,160185.0129,191352
2018-01-11,1138.93,194546.29387,210914
2018-01-12,1253.87,93763.47261,117851
2018-01-13,1388.02,75893.43201,115872
2018-01-14,1347.0,98391.19585,124920
2018-01-15,1271.0,69236.70476,105410
2018-01-16,1000.0,343889.36509,304696
2018-01-17,1000.0,436333.67326,391331
2018-01-18,994.0,294545.71207,278162
2018-01-19,1032.5,167954.11253,171662
2018-01-20,1152.75,123352.58362,139129
2018-01-21,1049.0,175031.00789,189013
2018-01-22,993.0,185212.52002,200594
2018-01-23,980.0,160159.63958,188114
2018-01-24,1061.0,134257.7947,164024
2018-01-25,1056.52,119415.93495,140455
2018-01-26,1051.03,145113.638,168271
2018-01-27,1118.99,96894.33839,130125
2018-01-28,1251.96,143510.73586,191653
2018-01-29,1177.01,105292.76808,172601
2018-01-30,1085.5,155278.55404,257484
2018-01-31,1124.81,100372.03783,191394
2018-02-01,1041.94,203355.29052,343466
2018-02-02,922.3,377375.22874,501434
2018-02-03,971.0,160037.88129,277958
2018-02-04,823.56,186446.0316,291397
2018-02-05,697.92,365516.52899,430516
2018-02-06,779.25,648944.4204,685832
2018-02-07,754.0,356403.4441,394597
2018-02-08,781.66,10516.2619,8507
2018-02-09,877.0,95447.67289,196544
2018-02-10,851.15,214818.06768,342039
2018-02-11,808.99,189323.408,318895
2018-02-12,866.66,143586.93121,300970
2018-02-13,841.57,110305.93537,234604
2018-02-14,919.09,150342.85558,297425
2018-02-15,924.55,155637.78524,308893
2018-02-16,938.67,115540.16349,247188
2018-02-17,969.99,110091.03618,224139
2018-02-18,911.0,160129.79518,287445
2018-02-19,938.11,80099.49534,188985
2018-02-20,882.99,120056.67502,225795
2018-02-21,835.89,176200.55151,324214
2018-02-22,801.49,137561.85113,265430
2018-02-23,851.6,154507.41338,283445
2018-02-24,833.94,89311.5794,180745
2018-02-25,841.19,59431.26474,134040
2018-02-26,867.98,74911.4656,135463
2018-02-27,870.11,63487.68425,113151
2018-02-28,853.5,53620.45209,102553
2018-03-01,870.63,43785.00503,89476
2018-03-02,856.28,39436.26006,77178
2018-03-03,856.02,34170.2942,65375
2018-03-04,866.66,29735.01829,64562
2018-03-05,849.84,30567.79813,61568
2018-03-06,813.11,48658.06883,90220
2018-03-07,749.9,109013.2838,157657
2018-03-08,695.46,76312.77819,124325
2018-03-09,723.71,116545.37303,174238
2018-03-10,680.58,63012.67972,98429
2018-03-11,720.85,73967.35869,108011
2018-03-12,697.11,67732.85988,107566
2018-03-13,689.94,55735.18315,110481
2018-03-14,610.1,89904.25415,139296
2018-03-15,608.83,94426.72453,139923
2018-03-16,599.05,64720.20994,84631
2018-03-17,546.95,68022.4592,85603
2018-03-18,537.0,248817.226,273110
2018-03-19,556.88,184798.77062,190236
2018-03-20,557.0,135426.91549,141920
2018-03-21,559.17,117019.17321,139151
2018-03-22,539.92,111106.19916,123941
2018-03-23,543.03,106416.06746,122067
2018-03-24,520.22,87710.78945,104841
2018-03-25,523.74,71903.1713,90242
2018-03-26,485.0,151084.23688,144216
2018-03-27,448.5,138188.76042,139179
2018-03-28,446.67,89895.47885,90706
2018-03-29,384.0,225341.94316,176576
2018-03-30,392.43,292254.79437,232555
2018-03-31,393.92,167833.59399,134396
2018-04-01,378.58,150493.99422,119329
2018-04-02,385.05,113242.14191,95810
2018-04-03,415.01,137897.55565,118778
2018-04-04,378.16,140598.39668,132792
2018-04-05,381.22,120314.05875,103370
2018-04-06,368.89,74458.69141,69396
2018-04-07,384.51,71463.42848,65341
2018-04-08,400.4,57395.52936,61290
2018-04-09,399.44,151653.50413,122647
2018-04-10,416.07,81394.29605,73634
2018-04-11,429.52,86706.68627,76885
2018-04-12,495.67,249766.38316,202769
2018-04-13,495.11,251752.08782,206506
2018-04-14,502.68,121283.3338,98631
2018-04-15,533.88,108739.15395,93171
2018-04-16,511.46,130359.52549,103147
2018-04-17,502.56,96541.96382,91563
2018-04-18,526.09,73161.95251,68912
2018-04-19,568.14,112235.77328,100508
2018-04-20,617.09,160209.03951,153184
2018-04-21,604.87,159364.95353,159407
2018-04-22,620.92,120127.3728,122258
2018-04-23,645.09,77475.70793,88353
2018-04-24,701.58,171437.66972,159888
2018-04-25,618.0,341439.50428,309129
2018-04-26,661.51,155754.00815,150017
2018-04-27,643.46,134803.48389,132051
2018-04-28,682.86,113128.36337,114761
2018-04-29,690.85,110020.23869,121177
2018-04-30,670.78,112494.9172,109155
2018-05-01,672.0,133123.66675,120421
2018-05-02,688.56,86185.5033,97534
2018-05-03,779.0,229419.209,210459
2018-05-04,785.99,179924.40215,161690
2018-05-05,819.5,128631.18764,121136
2018-05-06,794.3,166871.16002,154829
2018-05-07,752.49,284237.06328,232411
2018-05-08,748.99,135106.19621,126971
2018-05-09,751.75,112353.37758,104593
2018-05-10,722.52,102019.29933,99850
2018-05-11,676.96,216953.54991,192008
2018-05-12,684.11,166801.07487,159177
2018-05-13,729.08,136022.39207,116733
2018-05-14,727.49,183466.9224,152787
2018-05-15,704.91,127191.21863,115906
2018-05-16,706.29,118902.46895,121956
2018-05-17,667.62,106723.38375,109610
2018-05-18,692.6,106541.66307,114419
2018-05-19,697.0,88828.85641,99860
2018-05-20,716.16,86004.7409,91685
2018-05-21,696.7,96085.15451,89438
2018-05-22,640.99,107059.5769,110915
2018-05-23,577.19,257099.77096,203100
2018-05-24,602.18,195854.62497,159755
2018-05-25,585.55,118076.26273,115243
2018-05-26,586.0,77654.12532,76446
2018-05-27,570.4,97097.26713,90855
2018-05-28,511.5,153197.83278,136137
2018-05-29,567.36,189082.83788,128067
2018-05-30,557.19,122132.2701,94311
2018-05-31,577.81,100101.52276,88463
2018-06-01,579.0,83840.84162,85475
2018-06-02,590.85,80258.14719,81067
2018-06-03,619.66,84123.33235,83803
2018-06-04,591.02,96339.44507,86009
2018-06-05,609.05,89053.74351,86957
2018-06-06,607.4,70152.92117,71275
2018-06-07,605.16,60174.1888,61247
2018-06-08,598.68,49228.00755,49881
2018-06-09,592.87,38908.0653,40208
2018-06-10,524.11,190350.58429,145196
2018-06-11,531.69,145813.07819,117598
2018-06-12,493.0,158223.14812,121424
2018-06-13,475.47,181842.19417,134718
2018-06-14,519.29,206093.0733,156597
2018-06-15,487.48,160532.53607,122246
2018-06-16,496.74,131095.45173,96076
2018-06-17,497.14,117316.93221,92111
2018-06-18,517.95,143826.68272,119818
2018-06-19,537.97,148148.38064,130777
2018-06-20,536.49,123892.0424,99322
2018-06-21,526.18,79862.90544,77470
2018-06-22,462.09,212659.53437,166517
2018-06-23,473.41,94465.26834,85397
2018-06-24,454.41,198264.10079,152764
2018-06-25,458.7,122942.1165,113720
2018-06-26,429.34,84003.09976,64251
2018-06-27,441.64,99156.36437,73853
2018-06-28,420.22,112309.56714,120860
2018-06-29,434.77,159495.30942,114615
2018-06-30,454.09,157169.20242,105384
2018-07-01,452.1,111226.62846,78500
2018-07-02,476.25,182585.11018,135295
2018-07-03,461.82,186954.55478,139942
2018-07-04,467.38,101886.20199,81396
2018-07-05,467.87,125806.0083,113667
2018-07-06,470.47,100428.64802,94081
2018-07-07,485.57,83629.95382,75732
2018-07-08,486.77,144703.13626,104195
2018-07-09,471.71,89532.14109,75974
2018-07-10,432.48,173640.9762,121085
2018-07-11,444.99,159022.59726,112252
2018-07-12,431.14,181877.07924,111503
2018-07-13,432.46,150320.32532,99117
2018-07-14,433.19,122253.69397,79509
2018-07-15,449.78,140415.27048,78257
2018-07-16,478.49,172440.71343,116672
2018-07-17,498.76,215318.06761,144066
2018-07-18,479.41,236137.8071,173309
2018-07-19,468.57,171308.06705,121771
2018-07-20,449.04,160873.38244,123785
2018-07-21,460.23,74259.64067,66636
2018-07-22,457.47,60684.89595,53867
2018-07-23,450.05,106561.46081,86295
2018-07-24,479.28,158286.759,112642
2018-07-25,472.1,170475.54936,118086
2018-07-26,462.64,173976.2192,107846
2018-07-27,470.09,198304.79211,108861
2018-07-28,469.29,156862.59361,81561
2018-07-29,466.4,138747.56334,79843
2018-07-30,456.23,179581.79415,103093
2018-07-31,432.22,214913.57229,117935
2018-08-01,420.41,209570.0844,122508
2018-08-02,410.62,178421.10672,103504
2018-08-03,417.52,201156.61154,122785
2018-08-04,407.21,179498.57515,102597
2018-08-05,408.79,158913.77206,78475
2018-08-06,405.28,166496.42465,98135
2018-08-07,378.21,207706.11078,123346
2018-08-08,355.48,275047.10788,170291
2018-08-09,363.3,244268.20567,137786
2018-08-10,331.81,264274.13378,165093
2018-08-11,317.69,335634.67243,167715
2018-08-12,317.89,135524.79994,77747
2018-08-13,283.81,307713.22214,141534
2018-08-14,278.41,485174.37541,221194
2018-08-15,281.12,438620.64156,198830
2018-08-16,287.17,235665.2551,116200
2018-08-17,317.51,342556.46068,169216
2018-08-18,294.11,384021.38829,170896
2018-08-19,299.42,288483.44841,118166
2018-08-20,270.51,219153.78936,122863
2018-08-21,281.21,224701.57671,113749
2018-08-22,270.8,403936.78303,177686
2018-08-23,275.99,277304.60909,127845
2018-08-24,281.19,271850.21373,124399
2018-08-25,277.55,253375.49477,107965
2018-08-26,274.29,232525.9497,113465
2018-08-27,287.71,281020.64727,134261
2018-08-28,295.44,318323.28971,171500
2018-08-29,288.4,324275.47324,141609
2018-08-30,283.89,336993.14413,149454
2018-08-31,281.41,302663.37038,124162
2018-09-01,295.71,294944.4401,134032
2018-09-02,295.41,153300.06112,76484
2018-09-03,289.09,274753.70062,115284
2018-09-04,285.3,330102.19,128936
2018-09-05,228.53,528734.3196,218243
2018-09-06,229.7,552996.86567,241166
2018-09-07,215.22,398379.81741,162430
2018-09-08,196.71,318859.84904,111890
2018-09-09,195.81,429255.02592,144803
2018-09-10,197.15,418489.86663,146713
2018-09-11,185.18,476745.79216,163958
2018-09-12,183.12,504047.79165,150831
2018-09-13,210.68,739503.34051,222128
2018-09-14,208.82,833945.82573,249947
2018-09-15,221.29,441046.52933,125321
2018-09-16,220.17,425538.57709,130886
2018-09-17,196.16,825020.77445,224178
2018-09-18,208.17,584366.15014,167048
2018-09-19,209.79,496100.46639,128769
2018-09-20,224.0,573632.24236,172813
2018-09-21,247.73,841029.12948,257566
2018-09-22,241.01,423740.7403,127522
2018-09-23,244.5,235214.14917,86877
2018-09-24,228.06,350139.1505,122214
2018-09-25,219.62,710650.7097,241874
2018-09-26,214.42,613754.27743,200388
2018-09-27,229.13,582274.44087,185910
2018-09-28,221.84,618434.62488,196556
2018-09-29,231.62,604000.95586,193800
2018-09-30,232.94,432195.44084,164400
2018-10-01,231.61,322900.46128,120621
2018-10-02,225.69,401305.32707,148279
2018-10-03,220.77,275609.26221,112473
2018-10-04,222.66,158137.42967,64786
2018-10-05,228.37,137730.35786,54454
2018-10-06,225.4,100257.5697,35875
2018-10-07,226.14,74733.67253,29693
2018-10-08,230.01,210989.42202,77786
2018-10-09,228.4,100246.1843,42266
2018-10-10,226.74,122748.21412,54578
2018-10-11,191.58,497258.82871,189200
2018-10-12,196.96,216448.3922,90790
2018-10-13,201.3,107215.5262,45954
2018-10-14,197.01,110554.19361,37339
2018-10-15,214.39,973857.7477,298845
2018-10-16,215.09,145980.09837,83944
2018-10-17,212.85,153768.85024,75663
2018-10-18,206.24,150229.60097,85942
2018-10-19,205.0,254660.48637,84457
2018-10-20,207.91,62376.6968,34666
2018-10-21,207.49,83277.36128,40862
2018-10-22,206.67,206046.89963,72089
2018-10-23,205.85,112753.0414,50937
2018-10-24,205.35,97128.82698,47453
2018-10-25,203.93,77411.57217,37923
2018-10-26,204.92,91143.83291,49864
2018-10-27,204.45,50235.68329,52419
2018-10-28,204.99,44394.83357,37134
2018-10-29,196.96,118281.82272,70893
2018-10-30,197.27,83633.81463,56433
2018-10-31,198.73,114739.70424,68261
2018-11-01,199.96,86097.98629,53873
2018-11-02,202.35,97123.22813,61401
2018-11-03,200.31,72084.92932,46801
2018-11-04,212.11,182534.6216,112393
2018-11-05,210.66,141432.1406,81531
2018-11-06,220.74,197797.49527,110906
2018-11-07,219.07,204931.0342,105883
2018-11-08,212.79,189828.4945,93113
2018-11-09,210.77,152215.94686,72814
2018-11-10,213.25,131384.47893,66005
2018-11-11,212.54,136268.81156,66072
2018-11-12,212.89,99963.97203,52826
2018-11-13,209.84,114466.36708,65826
2018-11-14,187.43,434676.16832,187653
2018-11-15,184.35,452416.10784,212442
2018-11-16,176.89,241710.34763,120635
2018-11-17,176.2,144804.70986,77570
2018-11-18,178.97,141736.32263,68702
2018-11-19,150.81,596789.83916,224184
2018-11-20,133.82,996552.28721,357568
2018-11-21,138.23,718957.78552,246564
2018-11-22,126.63,334674.07185,117670
2018-11-23,125.02,504352.24386,166040
2018-11-24,114.89,471321.56764,153585
2018-11-25,118.67,836233.31252,264902
2018-11-26,110.68,679477.36231,224339
2018-11-27,111.43,524024.40616,179214
2018-11-28,122.9,578552.74124,195923
2018-11-29,117.98,478777.39614,180848
2018-11-30,113.73,418593.63529,153866
2018-12-01,118.1,330159.06742,122161
2018-12-02,116.57,273657.6215,102151
2018-12-03,108.76,324446.03324,115448
2018-12-04,109.94,275321.0063,111872
2018-12-05,102.71,354071.53241,111602
2018-12-06,91.0,586138.59043,188007
2018-12-07,93.05,1030073.58467,307599
2018-12-08,90.38,698217.12529,228982
2018-12-09,93.26,520519.36023,158700
2018-12-10,89.91,408573.02929,119278
2018-12-11,87.76,339991.84246,104079
2018-12-12,89.41,285436.04029,86407
2018-12-13,86.34,331218.30083,94842
2018-12-14,83.82,318003.73427,102917
2018-12-15,83.76,217360.65775,83696
2018-12-16,84.67,241366.76305,78098
2018-12-17,94.02,472252.23388,156319
2018-12-18,100.39,529946.79175,173951
2018-12-19,98.74,827748.59096,258340
2018-12-20,114.05,859612.57205,272100
2018-12-21,107.69,666048.71786,242389
2018-12-22,115.2,405672.83117,159158
2018-12-23,129.03,936094.1049,302293
2018-12-24,138.03,1319609.8165,426763
2018-12-25,127.6,1076164.12809,328349
2018-12-26,129.35,794834.05601,258222
2018-12-27,113.8,752177.90111,230428
2018-12-28,135.3,894454.19051,248671
2018-12-29,132.89,1006654.49844,291165
2018-12-30,137.77,704259.41614,232606
2018-12-31,131.45,484604.83962,157669
2019-01-01,139.1,401776.88797,125799
2019-01-02,152.01,941486.31524,253070
2019-01-03,146.3,708091.31714,206600
2019-01-04,151.97,805248.93821,224385
2019-01-05,152.83,773169.13736,231172
2019-01-06,153.86,627908.47366,204337
2019-01-07,149.34,424765.30258,157568
2019-01-08,147.6,441661.06778,170585
2019-01-09,148.1,299443.563,125358
2019-01-10,124.95,871751.75038,290765
2019-01-11,124.65,545293.98369,197047
2019-01-12,123.35,300262.13404,122024
2019-01-13,114.16,422561.96777,137005
2019-01-14,126.95,546420.40854,181074
2019-01-15,118.95,649020.5297,200989
2019-01-16,121.48,513486.65472,192912
2019-01-17,121.54,447535.22716,169098
2019-01-18,119.17,235646.684,112833
2019-01-19,122.6,323303.79296,117187
2019-01-20,117.47,451792.85352,164941
2019-01-21,115.63,303632.93463,119538
2019-01-22,117.81,359542.63873,134797
2019-01-23,116.44,230247.61578,102993
2019-01-24,116.39,216242.29829,90622
2019-01-25,115.11,198617.08108,85660
2019-01-26,115.34,146216.82819,68368
2019-01-27,112.05,247369.60555,97152
2019-01-28,105.5,566205.78288,177547
2019-01-29,104.45,319768.91348,129221
2019-01-30,108.29,330968.19265,118866
2019-01-31,106.44,290679.61935,102532
2019-02-01,106.73,243149.88435,86314
2019-02-02,110.42,186908.7573,67351
2019-02-03,107.36,227211.54064,78309
2019-02-04,107.68,160850.10293,65698
2019-02-05,107.27,159730.1886,68422
2019-02-06,104.5,337204.30254,113955
2019-02-07,104.48,147942.07683,68959
2019-02-08,119.25,589950.64925,177364
2019-02-09,119.19,328067.9574,118457
2019-02-10,125.12,385819.09619,146060
2019-02-11,120.89,389405.30404,129000
2019-02-12,122.41,343765.66987,114396
2019-02-13,121.86,317827.31956,122122
2019-02-14,120.42,297205.78738,101574
2019-02-15,121.67,255296.0814,100464
2019-02-16,122.67,215320.70134,84959
2019-02-17,133.75,614788.60078,162769
2019-02-18,145.69,1079830.1502,299772
2019-02-19,143.44,747968.90445,232384
2019-02-20,148.44,614303.61007,191505
2019-02-21,145.69,447364.40873,148898
2019-02-22,147.36,366251.18542,129247
2019-02-23,157.79,588183.72896,172084
2019-02-24,132.1,1260506.80672,351943
2019-02-25,137.87,801147.09543,243536
2019-02-26,136.22,432944.17033,145787
2019-02-27,135.02,567202.61035,158709
2019-02-28,135.34,579327.31749,183737
2019-03-01,135.32,302632.02831,103403
2019-03-02,132.56,297005.28093,113241
2019-03-03,130.6,222453.2859,86648
2019-03-04,125.65,403947.79445,140132
2019-03-05,136.72,512631.23178,155818
2019-03-06,137.4,428826.87415,136000
2019-03-07,136.81,307336.4931,114687
2019-03-08,133.52,330283.58233,113160
2019-03-09,137.27,279861.12049,111544
2019-03-10,135.37,203965.16815,90905
2019-03-11,132.67,264587.00683,101371
2019-03-12,133.57,194905.96843,74222
2019-03-13,131.65,209456.09848,87617
2019-03-14,132.2,258413.81868,99000
2019-03-15,136.56,295832.26562,103920
2019-03-16,140.92,474664.10197,149612
2019-03-17,138.67,252697.08148,88617
2019-03-18,137.59,281718.96195,94109
2019-03-19,138.55,218577.45208,82348
2019-03-20,139.01,222883.51754,83814
2019-03-21,134.85,312531.39368,113797
2019-03-22,135.98,186119.74745,79782
2019-03-23,137.28,174710.43059,73884
2019-03-24,136.09,198490.45124,82361
2019-03-25,133.98,230880.285,98246
2019-03-26,134.18,183139.11426,86841
2019-03-27,139.45,317167.45325,119271
2019-03-28,137.86,163185.6991,73225
2019-03-29,143.25,235853.0454,94717
2019-03-30,142.46,254798.70067,97751
2019-03-31,141.38,142469.21171,65047
2019-04-01,141.24,234310.19161,90705
2019-04-02,163.31,906868.8586,289637
2019-04-03,159.96,1345344.53845,423036
2019-04-04,157.36,686080.95248,242989
2019-04-05,164.77,516070.34553,175261
2019-04-06,165.5,528168.33297,163384
2019-04-07,174.21,465507.52497,161529
2019-04-08,178.72,873410.07285,272413
2019-04-09,174.6,431986.36108,156659
2019-04-10,177.12,523943.20498,171960
2019-04-11,164.07,661305.30321,224876
2019-04-12,163.19,316337.87823,124732
2019-04-13,162.99,179237.74574,75202
2019-04-14,167.23,186977.66211,72468
2019-04-15,159.95,351548.9079,113590
2019-04-16,165.37,240370.50441,82937
2019-04-17,165.75,227841.54981,85475
2019-04-18,173.33,396118.94407,114728
2019-04-19,172.64,320541.72166,104551
2019-04-20,172.88,253596.48407,94403
2019-04-21,168.59,283450.43943,108394
2019-04-22,170.52,269868.39876,96396
2019-04-23,169.16,363523.34531,126520
2019-04-24,164.78,426497.04153,154469
